,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BELMONT                  ,01  ONE FAMILY DWELLINGS                    ,1,3077,53, ,A1, 2461 HUGHES AVENUE                        ,NYC,10458,40.8565976,-73.8859542,"2,185","1,428",1925,1, A1 ,"$412,500 ",10/1/2015,
2,BELMONT                  ,01  ONE FAMILY DWELLINGS                    ,1,3077,53, ,A1, 2461 HUGHES AVENUE                        ,NYC,10458,40.8565976,-73.8859542,"2,185","1,428",1925,1, A1 ,"$150,000 ",7/23/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4433,43, ,A2, 2547 CRUGER AVENUE                        ,NYC,10467,40.8646903,-73.8666007,"5,000","2,200",1910,1, A2 ,"$420,000 ",5/14/2015,"$334,312 "
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4510,3, ,S1, 731 ALLERTON AVENUE                       ,NYC,10467,40.8656097,-73.8659823,"1,454","2,262",1931,1, S1 ,"$525,000 ",1/8/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4518,20, ,A2, 2730 PAULDING AVE                         ,NYC,10469,40.866608,-73.858362,"2,500",570,1925,1, A2 ,"$340,000 ",12/10/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4520,39, ,A2, 2749 LACONIA AVENUE                       ,NYC,10469,40.866879,-73.856088,"5,000","1,420",1920,1, A2 ,"$375,000 ",12/8/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4522,26, ,A9, 2766 YATES AVENUE                         ,NYC,10469,40.8673649,-73.8544981,"2,500","1,280",1955,1, A9 ,"$335,000 ",4/15/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4525,20, ,A5, 2750 PEARSALL AVE                         ,NYC,10469,40.866793,-73.851618,"2,042","1,040",1940,1, A5 ,"$230,000 ",4/21/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4527,128, ,A5, 2758 BOUCK AVENUE                         ,NYC,10469,40.866995,-73.849728,"1,800","1,620",1950,1, A5 ,"$333,000 ",9/30/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4530,33, ,A1, 2768 FISH AVENUE                          ,NYC,10469,40.867267,-73.846818,"2,948","1,216",1920,1, A1 ,"$360,000 ",2/12/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4530,60, ,A5, 2719 SEYMOUR AVENUE                       ,NYC,10469,40.866042,-73.846491,"2,550",992,1955,1, A5 ,"$340,000 ",11/25/2015,
